Filename,Speaker A - Primary,Speaker B - Primary,Speaker A - Secondary,Speaker B - Secondary,Speaker A - NOTES,Speaker B - NOTES 
en_4065.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND/COLLEAGUE,FRIEND/COLLEAGUE
en_4074.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4077.txt,RELATIVE,RELATIVE,SISTER,SISTER,SIBLING/SISTER,SIBLING/SISTER
en_4092.txt,RELATIVE,RELATIVE,SISTER,SISTER,SIBLING/SISTER,SIBLING/SISTER
en_4093.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4104.txt,RELATIVE,RELATIVE,UNKNOWN,UNKNOWN,YOUNGER RELATIVE/ DAUGHTER? NIECE?,OLDER RELATIVE/ FATHER? UNCLE?
en_4112.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND/COLLEAGUE,FRIEND/COLLEAGUE
en_4145.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4184.txt,RELATIVE,RELATIVE,FATHER,DAUGHTER,OLDER RELATIVE/FATHER,YOUNGER RELATIVE/DAUGHTER
en_4234.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4245.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4247.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND/COLLEAGUE,FRIEND/COLLEAGUE
en_4248.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4310.txt,RELATIVE,RELATIVE,SISTER,SISTER,SIBLING/SISTER,SIBLING/SISTER
en_4325.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4365.txt,RELATIVE,RELATIVE,SISTER,BROTHER,SIBLING/SISTER,SIBLING/BROTHER
en_4415.txt,FRIEND,FRIEND,FATHER,FATHER,FRIEND,FRIEND
en_4431.txt,RELATIVE,RELATIVE,SISTER,BROTHER,SIBLING/SISTER,SIBLING/BROTHER
en_4432.txt,FRIEND,FRIEND,FATHER,FATHER,FRIEND,FRIEND
en_4459.txt,RELATIVE,RELATIVE,SISTER,SISTER,SIBLING/SISTER,SIBLING/SISTER
en_4485.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND/COLLEAGUE (Junior),FRIEND/COLLEAGUE (Senior)
en_4490.txt,RELATIVE,RELATIVE,UNKNOWN,UNKNOWN,RELATIVE (COUSIN - younger?),RELATIVE (COUSIN - older?)
en_4544.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND/COLLEAGUE?,FRIEND/COLLEAGUE?
en_4556.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4564.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4569.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4571.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4595.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4610.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MULTIPLE SPEAKERS,MULTIPLE SPEAKERS
en_4612.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FRIEND/BROTHER/BROTHER-IN-LAW,FRIEND/BROTHER/BROTHER-IN-LAW
en_4623.txt,RELATIVE,RELATIVE,MOTHER,DAUGHTER,MOTHER ,DAUGHTER
en_4624.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4628.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4629.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0-130 MOTHER,130-194 YOUNGER BROTHER
en_4660.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4665.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND/COLLEAGUE (nun),FRIEND/COLLEAGUE (nun)
en_4673.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FRIEND??? (not enough information),FRIEND??? (not enough information)
en_4702.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4705.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND/COLLEAGUE (nun),FRIEND/COLLEAGUE (nun)
en_4721.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FRIEND (two speakers both male) possibly shouldn't be in the corpus at all since there are two on the A line at the same time,FRIEND (female)
en_4807.txt,RELATIVE,RELATIVE,MOTHER,DAUGHTER,MOTHER ,DAUGHTER
en_4838.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4844.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4861.txt,RELATIVE,RELATIVE,MOTHER,DAUGHTER,MOTHER,DAUGHTER
en_4886.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FRIEND (?),FRIEND (?)
en_4887.txt,RELATIVE,RELATIVE,DAUGHTER,FATHER,SISTER/DAUGHTER,B - DAD
en_4913.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4926.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND
en_4927.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
en_4941.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND (older),FRIEND (older)
en_4967.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FRIEND (brother?),FRIEND (sister?)
en_5046.txt,FRIEND,FRIEND,FRIEND,FRIEND,COLLEAGUE/FRIEND,COLLEAGUE/FRIEND
en_5166.txt,RELATIVE,RELATIVE,BROTHER,SISTER,BROTHER,SISTER
en_5242.txt,RELATIVE,RELATIVE,MOTHER,DAUGHTER,MOTHER,DAUGHTER
en_5254.txt,FRIEND,FRIEND,FRIEND,FRIEND,FRIEND (very close),FRIEND (very close)
en_5273.txt,FRIEND,FRIEND,FRIEND,FRIEND,"FRIEND (long-time friend, graduate student)","FRIEND (long-time friend, military)"
en_5278.txt,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FRIEND (maybe sister?),FRIEND (maybe sister?)
